Credit,Partenaire,Durée_du_crédit,Type_de_produit,Montant_du_crédit,Montant_du_renouvelable,Situation_familliale,Nombre_enfant,Contrat_de_travail,Profession,Situation_logement,Sex,Age,Revenu,BaseScore,x1,x2,x3,x4,x6,x7,x12,Score
1,2,30.0,0,1179.99,1179.99,3,0.0,4,7,4,0,66.0,2200.0,522.0,5.0,-9.0,0.0,-18.0,37.0,-1.0,43.0,579.0
1,3,10.0,0,500.0,500.0,3,3.0,2,3,0,0,39.0,1300.0,522.0,5.0,-3.0,0.0,9.0,37.0,8.0,7.0,585.0
1,2,5.0,0,1162.97,1162.97,0,2.0,2,2,4,0,54.0,5000.0,522.0,5.0,-3.0,0.0,-18.0,-0.0,8.0,15.0,529.0
1,2,24.0,1,533.99,2000.0,2,2.0,2,6,4,0,27.0,1150.0,522.0,5.0,-9.0,-7.0,9.0,-0.0,8.0,-25.0,503.0
1,2,12.0,0,549.99,549.99,1,2.0,2,2,0,1,47.0,2700.0,522.0,5.0,-9.0,0.0,9.0,-0.0,8.0,7.0,542.0
1,2,30.0,0,1329.98,1329.98,3,1.0,4,8,0,0,48.0,0.0,522.0,5.0,-9.0,0.0,-18.0,37.0,8.0,7.0,552.0
1,8,4.0,1,175.0,3000.0,3,0.0,2,5,0,1,48.0,2000.0,522.0,18.0,9.0,-7.0,13.0,37.0,-1.0,7.0,598.0
1,3,4.0,0,233.0,233.0,3,1.0,2,3,4,0,58.0,1200.0,522.0,5.0,9.0,0.0,13.0,37.0,8.0,24.0,618.0
1,3,4.0,0,460.26,460.26,0,0.0,2,1,1,1,48.0,2950.0,522.0,5.0,9.0,0.0,12.0,-0.0,-1.0,7.0,554.0
0,2,20.0,0,1148.98,1148.98,0,0.0,2,3,1,1,34.0,2300.0,522.0,5.0,-9.0,0.0,-18.0,-0.0,-1.0,-7.0,492.0
1,8,10.0,0,816.53,816.53,3,1.0,2,6,0,1,40.0,2600.0,522.0,18.0,-3.0,0.0,-18.0,37.0,8.0,7.0,571.0
1,8,4.0,1,268.16,2000.0,5,0.0,2,5,1,0,54.0,1300.0,522.0,18.0,9.0,-7.0,13.0,37.0,-1.0,15.0,606.0
1,2,3.0,1,849.99,3000.0,0,0.0,2,5,3,1,19.0,1450.0,522.0,5.0,13.0,-7.0,-18.0,-0.0,-1.0,-25.0,489.0
1,2,5.0,0,549.99,549.99,3,0.0,4,7,0,1,56.0,1200.0,522.0,5.0,-3.0,0.0,9.0,37.0,-1.0,15.0,584.0
1,8,3.0,1,200.99,2000.0,3,2.0,2,6,1,1,42.0,1300.0,522.0,18.0,13.0,-7.0,13.0,37.0,8.0,7.0,611.0
1,8,4.0,1,477.22,3000.0,3,0.0,2,3,0,1,50.0,2700.0,522.0,18.0,9.0,-7.0,12.0,37.0,-1.0,15.0,605.0
1,8,10.0,0,505.53,505.53,3,0.0,2,3,0,0,52.0,1200.0,522.0,18.0,-3.0,0.0,9.0,37.0,-1.0,15.0,597.0
1,2,10.0,1,463.99,2000.0,2,0.0,2,5,0,0,48.0,1300.0,522.0,5.0,-3.0,-7.0,12.0,-0.0,-1.0,7.0,535.0
1,8,4.0,1,287.4,2000.0,0,0.0,2,3,4,0,53.0,2000.0,522.0,18.0,9.0,-7.0,13.0,-0.0,-1.0,15.0,569.0
